Country,Year,Food Category,Total Waste (kg),Total Cost (₹),Average Waste (kg),Records Count
Brazil,2016,Beverages,778.21,38910.6,35.37,22
Brazil,2017,Legumes,1558.06,77902.8,74.19,21
Brazil,2017,Bakery,1682.28,84113.85,80.11,21
Brazil,2017,Beverages,1361.0,68050.0,46.93,29
Brazil,2017,Oils & Fats,2819.47,140973.35,100.7,28
Brazil,2017,Prepared Foods,523.25,26162.75,24.92,21
Brazil,2017,Fruits & Vegetables,2221.77,111088.55,82.29,27
Brazil,2017,Dairy,2705.03,135251.4,69.36,39
Brazil,2017,Cereals & Grains,1001.25,50062.75,58.9,17
Brazil,2017,Meat & Poultry,4943.68,247183.85,205.99,24
Brazil,2017,Seafood,5645.99,282299.75,245.48,23
Brazil,2018,Oils & Fats,609.34,30467.05,25.39,24
Brazil,2018,Meat & Poultry,4512.26,225613.1,322.3,14
Brazil,2018,Beverages,2264.98,113248.95,90.6,25
Brazil,2018,Fruits & Vegetables,2047.61,102380.25,81.9,25
Brazil,2018,Bakery,1337.55,66877.6,66.88,20
Brazil,2018,Legumes,1861.0,93049.85,97.95,19
Brazil,2018,Dairy,2218.84,110942.1,85.34,26
Brazil,2018,Prepared Foods,2261.5,113075.1,102.8,22
Brazil,2018,Seafood,4277.16,213858.05,164.51,26
Brazil,2018,Cereals & Grains,2097.04,104852.0,83.88,25
Brazil,2019,Oils & Fats,529.42,26471.0,16.04,33
Brazil,2019,Cereals & Grains,2800.74,140036.95,96.58,29
Brazil,2019,Fruits & Vegetables,1094.38,54719.05,52.11,21
Brazil,2019,Meat & Poultry,1172.99,58649.65,58.65,20
Brazil,2019,Dairy,3849.45,192472.35,124.18,31
Brazil,2019,Legumes,2350.06,117503.2,90.39,26
Brazil,2019,Beverages,513.93,25696.65,22.34,23
Brazil,2019,Bakery,3547.91,177395.75,131.4,27
Brazil,2019,Seafood,4127.05,206352.5,121.38,34
Brazil,2019,Prepared Foods,2618.77,130938.6,124.7,21
Brazil,2020,Bakery,2163.43,108171.25,90.14,24
Brazil,2020,Fruits & Vegetables,1810.5,90524.8,78.72,23
Brazil,2020,Legumes,964.54,48226.95,38.58,25
Brazil,2020,Prepared Foods,3062.86,153143.05,102.1,30
Brazil,2020,Oils & Fats,1728.51,86425.45,48.01,36
Brazil,2020,Meat & Poultry,2779.35,138967.55,95.84,29
Brazil,2020,Cereals & Grains,3073.41,153670.75,93.13,33
Brazil,2020,Seafood,634.54,31727.0,23.5,27
Brazil,2020,Dairy,1157.72,57886.2,46.31,25
Brazil,2020,Beverages,1811.72,90585.85,75.49,24
Brazil,2021,Legumes,2132.23,106611.3,88.84,24
Brazil,2021,Meat & Poultry,3910.74,195536.85,115.02,34
Brazil,2021,Oils & Fats,958.18,47908.95,33.04,29
Brazil,2021,Beverages,2580.33,129016.6,95.57,27
Brazil,2021,Dairy,1962.52,98126.05,103.29,19
Brazil,2021,Prepared Foods,2807.81,140390.55,103.99,27
Brazil,2021,Cereals & Grains,1061.09,53054.3,81.62,13
Brazil,2021,Fruits & Vegetables,3017.76,150888.0,116.07,26
Brazil,2021,Bakery,2436.41,121820.6,93.71,26
Brazil,2021,Seafood,4367.45,218372.65,150.6,29
Brazil,2022,Oils & Fats,737.8,36890.15,32.08,23
Brazil,2022,Prepared Foods,2961.97,148098.75,118.48,25
Brazil,2022,Beverages,1425.6,71279.95,50.91,28
Brazil,2022,Bakery,770.67,38533.55,27.52,28
Brazil,2022,Fruits & Vegetables,3100.56,155027.9,96.89,32
Brazil,2022,Legumes,1749.49,87474.4,69.98,25
Brazil,2022,Cereals & Grains,1152.28,57614.1,46.09,25
Brazil,2022,Meat & Poultry,3098.52,154926.05,119.17,26
Brazil,2022,Dairy,1736.28,86813.85,133.56,13
Brazil,2022,Seafood,1078.88,53943.9,46.91,23
Brazil,2023,Seafood,5095.28,254764.0,154.4,33
Brazil,2023,Bakery,2952.27,147613.45,105.44,28
Brazil,2023,Oils & Fats,391.25,19562.65,23.01,17
Brazil,2023,Cereals & Grains,1429.62,71481.1,68.08,21
Brazil,2023,Beverages,849.71,42485.6,36.94,23
Brazil,2023,Dairy,1789.03,89451.6,74.54,24
Brazil,2023,Prepared Foods,3300.1,165004.9,173.69,19
Brazil,2023,Fruits & Vegetables,2998.19,149909.45,142.77,21
Brazil,2023,Meat & Poultry,1983.52,99176.2,79.34,25
Brazil,2023,Legumes,706.96,35348.15,35.35,20
Brazil,2024,Seafood,3193.76,159687.75,168.09,19
Brazil,2024,Bakery,3667.89,183394.5,114.62,32
Brazil,2024,Dairy,1369.06,68452.9,44.16,31
Brazil,2024,Prepared Foods,3256.17,162808.4,141.57,23
Brazil,2024,Oils & Fats,455.3,22764.95,22.76,20
Brazil,2024,Meat & Poultry,3654.32,182715.9,152.26,24
Brazil,2024,Beverages,689.91,34495.45,45.99,15
Brazil,2024,Cereals & Grains,2192.66,109633.2,70.73,31
Brazil,2024,Legumes,789.72,39486.2,35.9,22
Brazil,2024,Fruits & Vegetables,2023.81,101190.45,96.37,21
China,2015,Oils & Fats,506.47,25323.25,19.48,26
China,2015,Fruits & Vegetables,2874.91,143745.3,143.75,20
China,2015,Beverages,1533.72,76685.8,95.86,16
China,2015,Seafood,3220.23,161011.5,115.01,28
China,2015,Cereals & Grains,2987.35,149367.35,85.35,35
China,2015,Meat & Poultry,2217.86,110893.0,147.86,15
China,2015,Prepared Foods,2507.53,125376.5,125.38,20
China,2015,Legumes,863.4,43170.25,45.44,19
China,2015,Dairy,1756.54,87827.2,62.73,28
China,2015,Bakery,1566.86,78343.05,60.26,26
China,2016,Seafood,4702.63,235131.7,223.93,21
China,2016,Cereals & Grains,976.07,48803.7,36.15,27
China,2016,Meat & Poultry,624.48,31223.75,39.03,16
China,2016,Bakery,507.94,25397.2,19.54,26
China,2016,Dairy,3072.9,153645.15,153.65,20
China,2016,Fruits & Vegetables,6504.06,325203.05,197.09,33
China,2016,Legumes,986.2,49309.95,51.91,19
China,2016,Prepared Foods,3086.16,154308.2,146.96,21
China,2016,Beverages,1694.49,84724.35,65.17,26
China,2016,Oils & Fats,1791.52,89576.1,61.78,29
China,2017,Oils & Fats,865.13,43256.6,33.27,26
China,2017,Fruits & Vegetables,1200.16,60008.1,52.18,23
China,2017,Legumes,1309.02,65451.1,93.5,14
China,2017,Seafood,2627.81,131390.3,90.61,29
China,2017,Beverages,1614.34,80716.9,55.67,29
China,2017,Meat & Poultry,2771.74,138587.05,106.61,26
China,2017,Bakery,2638.23,131911.5,125.63,21
China,2017,Dairy,1896.21,94810.7,82.44,23
China,2017,Cereals & Grains,507.43,25371.35,29.85,17
China,2017,Prepared Foods,3224.94,161246.95,111.2,29
China,2018,Beverages,1107.36,55368.05,42.59,26
China,2018,Prepared Foods,2713.11,135655.25,123.32,22
China,2018,Meat & Poultry,3571.05,178552.7,137.35,26
China,2018,Cereals & Grains,2009.4,100470.1,69.29,29
China,2018,Legumes,1801.06,90052.85,64.32,28
China,2018,Oils & Fats,468.42,23420.9,18.02,26
China,2018,Fruits & Vegetables,3656.25,182812.55,140.63,26
China,2018,Seafood,4326.53,216326.75,196.66,22
China,2018,Bakery,1257.67,62883.4,62.88,20
China,2018,Dairy,5160.08,258004.1,191.11,27
China,2019,Beverages,2892.37,144618.5,85.07,34
China,2019,Prepared Foods,8975.74,448786.95,242.59,37
China,2019,Meat & Poultry,3782.01,189100.55,290.92,13
China,2019,Oils & Fats,273.7,13685.05,11.9,23
China,2019,Dairy,817.21,40860.5,24.04,34
China,2019,Fruits & Vegetables,2840.12,142005.85,101.43,28
China,2019,Cereals & Grains,1797.06,89853.15,74.88,24
China,2019,Seafood,2528.4,126420.0,90.3,28
China,2019,Legumes,2491.1,124555.15,108.31,23
China,2019,Bakery,2357.46,117873.1,73.67,32
China,2020,Fruits & Vegetables,2167.9,108395.15,80.29,27
China,2020,Meat & Poultry,2428.05,121402.45,97.12,25
China,2020,Beverages,17708.39,885419.65,632.44,28
China,2020,Dairy,1580.48,79023.85,58.54,27
China,2020,Legumes,1949.49,97474.3,84.76,23
China,2020,Cereals & Grains,1788.58,89428.8,111.79,16
China,2020,Seafood,5925.98,296299.2,185.19,32
China,2020,Prepared Foods,2704.33,135216.25,135.22,20
China,2020,Bakery,2080.66,104032.9,94.58,22
China,2020,Oils & Fats,404.08,20204.2,21.27,19
China,2021,Cereals & Grains,2628.26,131413.25,105.13,25
China,2021,Seafood,2459.18,122959.1,94.58,26
China,2021,Dairy,1779.09,88954.55,88.95,20
China,2021,Bakery,1440.93,72046.3,84.76,17
China,2021,Prepared Foods,1959.82,97990.75,97.99,20
China,2021,Fruits & Vegetables,240.59,12029.7,17.19,14
China,2021,Beverages,694.89,34744.4,28.95,24
China,2021,Meat & Poultry,2935.3,146765.0,94.69,31
China,2021,Oils & Fats,199.75,9987.75,15.37,13
China,2021,Legumes,1057.25,52862.6,55.64,19
China,2022,Beverages,731.16,36557.9,31.79,23
China,2022,Dairy,1189.04,59452.15,69.94,17
China,2022,Legumes,390.43,19521.3,14.46,27
China,2022,Seafood,5357.56,267877.9,214.3,25
China,2022,Oils & Fats,1014.45,50722.5,46.11,22
China,2022,Bakery,1459.46,72972.85,72.97,20
China,2022,Prepared Foods,2492.63,124631.45,99.71,25
China,2022,Cereals & Grains,877.47,43873.45,36.56,24
China,2022,Fruits & Vegetables,4553.98,227698.9,168.67,27
China,2022,Meat & Poultry,778.89,38944.35,37.09,21
China,2023,Legumes,1766.52,88326.05,84.12,21
China,2023,Prepared Foods,3146.36,157318.15,157.32,20
China,2023,Fruits & Vegetables,1955.24,97762.0,85.01,23
China,2023,Oils & Fats,1118.03,55901.45,32.88,34
China,2023,Beverages,979.16,48957.9,42.57,23
China,2023,Cereals & Grains,688.82,34440.85,29.95,23
China,2023,Dairy,419.48,20973.75,26.22,16
China,2023,Bakery,1759.93,87996.3,65.18,27
China,2023,Meat & Poultry,2367.76,118387.85,91.07,26
China,2023,Seafood,5217.41,260870.75,260.87,20
China,2024,Cereals & Grains,910.7,45534.95,43.37,21
China,2024,Seafood,4305.74,215286.8,143.52,30
China,2024,Meat & Poultry,2471.55,123577.3,79.73,31
China,2024,Bakery,908.55,45427.3,69.89,13
China,2024,Prepared Foods,3404.77,170238.65,212.8,16
China,2024,Oils & Fats,686.27,34313.45,24.51,28
China,2024,Legumes,2985.37,149268.65,85.3,35
China,2024,Dairy,362.42,18121.2,14.5,25
China,2024,Beverages,1358.76,67937.8,84.92,16
China,2024,Fruits & Vegetables,3499.77,174988.3,106.05,33
Egypt,2015,Legumes,2415.72,120786.1,77.93,31
Egypt,2015,Bakery,1235.85,61792.65,53.73,23
Egypt,2015,Prepared Foods,1539.89,76994.35,102.66,15
Egypt,2015,Meat & Poultry,10983.82,549191.15,332.84,33
Egypt,2015,Oils & Fats,560.83,28041.35,23.37,24
Egypt,2015,Fruits & Vegetables,2534.35,126717.7,87.39,29
Egypt,2015,Beverages,1784.63,89231.75,68.64,26
Egypt,2015,Seafood,2612.64,130631.75,118.76,22
Egypt,2015,Cereals & Grains,2300.9,115044.95,76.7,30
Egypt,2015,Dairy,1359.47,67973.45,67.97,20
Egypt,2016,Cereals & Grains,4450.06,222503.25,123.61,36
Egypt,2016,Meat & Poultry,1279.15,63957.45,41.26,31
Egypt,2016,Prepared Foods,3066.29,153314.6,113.57,27
Egypt,2016,Bakery,1469.38,73469.2,66.79,22
Egypt,2016,Fruits & Vegetables,1116.45,55822.5,69.78,16
Egypt,2016,Legumes,558.79,27939.6,22.35,25
Egypt,2016,Seafood,4223.93,211196.35,176.0,24
Egypt,2016,Dairy,4988.04,249401.9,127.9,39
Egypt,2016,Oils & Fats,1108.99,55449.45,39.61,28
Egypt,2016,Beverages,913.01,45650.3,41.5,22
Egypt,2017,Cereals & Grains,723.7,36185.0,34.46,21
Egypt,2017,Beverages,1743.4,87170.1,72.64,24
Egypt,2017,Fruits & Vegetables,2107.51,105375.3,117.08,18
Egypt,2017,Dairy,2871.39,143569.25,124.84,23
Egypt,2017,Prepared Foods,4524.38,226219.05,167.57,27
Egypt,2017,Legumes,2026.29,101314.65,77.93,26
Egypt,2017,Seafood,4081.98,204099.0,157.0,26
Egypt,2017,Oils & Fats,770.46,38522.75,38.52,20
Egypt,2017,Bakery,2333.21,116660.3,101.44,23
Egypt,2017,Meat & Poultry,3761.01,188050.45,179.1,21
Egypt,2018,Legumes,1479.76,73988.05,43.52,34
Egypt,2018,Prepared Foods,361.78,18088.8,20.1,18
Egypt,2018,Meat & Poultry,3026.03,151301.3,137.55,22
Egypt,2018,Dairy,824.59,41229.25,45.81,18
Egypt,2018,Beverages,1994.98,99749.2,60.45,33
Egypt,2018,Fruits & Vegetables,1073.16,53658.15,44.72,24
Egypt,2018,Oils & Fats,216.94,10846.85,6.03,36
Egypt,2018,Seafood,2158.98,107949.1,113.63,19
Egypt,2018,Cereals & Grains,1705.63,85281.4,100.33,17
Egypt,2018,Bakery,8041.59,402079.55,277.3,29
Egypt,2019,Fruits & Vegetables,1643.52,82176.05,78.26,21
Egypt,2019,Bakery,585.8,29289.8,20.92,28
Egypt,2019,Cereals & Grains,1490.35,74517.35,57.32,26
Egypt,2019,Meat & Poultry,2556.0,127799.85,150.35,17
Egypt,2019,Oils & Fats,685.2,34259.9,36.06,19
Egypt,2019,Beverages,925.81,46290.3,40.25,23
Egypt,2019,Prepared Foods,2196.2,109809.85,78.44,28
Egypt,2019,Legumes,2648.64,132432.25,94.59,28
Egypt,2019,Dairy,1516.63,75831.6,75.83,20
Egypt,2019,Seafood,2467.12,123356.15,91.37,27
Egypt,2020,Oils & Fats,852.9,42644.95,37.08,23
Egypt,2020,Cereals & Grains,2849.08,142453.95,118.71,24
Egypt,2020,Beverages,1647.5,82375.0,56.81,29
Egypt,2020,Seafood,7319.25,365962.45,281.51,26
Egypt,2020,Meat & Poultry,5496.02,274800.8,196.29,28
Egypt,2020,Fruits & Vegetables,2242.2,112109.95,101.92,22
Egypt,2020,Legumes,1138.72,56935.85,49.51,23
Egypt,2020,Bakery,86.07,4303.35,5.38,16
Egypt,2020,Prepared Foods,2351.55,117577.3,87.09,27
Egypt,2020,Dairy,1554.75,77737.5,53.61,29
Egypt,2021,Dairy,2309.5,115474.9,135.85,17
Egypt,2021,Oils & Fats,1487.84,74392.15,64.69,23
Egypt,2021,Meat & Poultry,3133.09,156654.7,120.5,26
Egypt,2021,Cereals & Grains,1709.51,85475.45,55.15,31
Egypt,2021,Prepared Foods,1229.82,61490.9,58.56,21
Egypt,2021,Seafood,3477.76,173887.9,158.08,22
Egypt,2021,Fruits & Vegetables,3586.79,179339.3,137.95,26
Egypt,2021,Beverages,941.82,47091.15,40.95,23
Egypt,2021,Bakery,1957.58,97879.15,65.25,30
Egypt,2021,Legumes,1819.37,90968.65,67.38,27
Egypt,2022,Bakery,1760.29,88014.5,80.01,22
Egypt,2022,Seafood,2098.29,104914.45,83.93,25
Egypt,2022,Legumes,1652.13,82606.5,71.83,23
Egypt,2022,Cereals & Grains,3981.35,199067.35,132.71,30
Egypt,2022,Meat & Poultry,5550.32,277516.2,213.47,26
Egypt,2022,Prepared Foods,2272.43,113621.45,94.68,24
Egypt,2022,Dairy,3033.48,151674.0,116.67,26
Egypt,2022,Fruits & Vegetables,3544.07,177203.7,114.32,31
Egypt,2022,Oils & Fats,1382.45,69122.35,49.37,28
Egypt,2022,Beverages,1556.58,77828.85,77.83,20
Egypt,2023,Oils & Fats,471.0,23549.85,29.44,16
Egypt,2023,Bakery,1971.91,98595.5,85.74,23
Egypt,2023,Prepared Foods,1344.16,67208.05,79.07,17
Egypt,2023,Meat & Poultry,3372.55,168627.25,168.63,20
Egypt,2023,Cereals & Grains,2467.16,123358.05,82.24,30
Egypt,2023,Beverages,1972.64,98631.8,78.91,25
Egypt,2023,Fruits & Vegetables,5661.84,283092.1,182.64,31
Egypt,2023,Legumes,2977.44,148872.1,129.45,23
Egypt,2023,Seafood,6003.4,300169.95,181.92,33
Egypt,2023,Dairy,323.47,16173.3,17.97,18
Egypt,2024,Dairy,2604.37,130218.35,100.17,26
Egypt,2024,Meat & Poultry,5545.6,277279.85,231.07,24
Egypt,2024,Fruits & Vegetables,2223.79,111189.5,105.89,21
Egypt,2024,Prepared Foods,2596.7,129835.2,103.87,25
Egypt,2024,Oils & Fats,208.34,10416.9,9.06,23
Egypt,2024,Bakery,2281.97,114098.5,95.08,24
Egypt,2024,Beverages,909.72,45485.85,29.35,31
Egypt,2024,Legumes,1642.42,82120.85,71.41,23
Egypt,2024,Seafood,4750.95,237547.5,215.95,22
Egypt,2024,Cereals & Grains,583.01,29150.6,32.39,18
France,2015,Beverages,3989.45,199472.75,173.45,23
France,2015,Meat & Poultry,2594.75,129737.5,103.79,25
France,2015,Prepared Foods,1210.85,60542.7,39.06,31
France,2015,Legumes,594.5,29725.15,23.78,25
France,2015,Fruits & Vegetables,1129.52,56475.85,56.48,20
France,2015,Dairy,1587.97,79398.6,72.18,22
France,2015,Oils & Fats,1187.66,59383.25,53.98,22
France,2015,Seafood,4688.79,234439.65,187.55,25
France,2015,Cereals & Grains,3557.47,177873.65,161.7,22
France,2015,Bakery,5548.15,277407.7,154.12,36
France,2016,Bakery,1284.06,64202.75,51.36,25
France,2016,Legumes,1328.45,66422.3,60.38,22
France,2016,Beverages,437.16,21857.9,16.81,26
France,2016,Seafood,2526.17,126308.3,101.05,25
France,2016,Dairy,2519.12,125956.0,89.97,28
France,2016,Oils & Fats,674.55,33727.5,32.12,21
France,2016,Cereals & Grains,1680.25,84012.6,62.23,27
France,2016,Prepared Foods,981.71,49085.5,49.09,20
France,2016,Fruits & Vegetables,3640.39,182019.55,145.62,25
France,2016,Meat & Poultry,2715.62,135781.25,150.87,18
France,2017,Fruits & Vegetables,2115.32,105765.85,68.24,31
France,2017,Dairy,2067.33,103366.4,73.83,28
France,2017,Prepared Foods,2241.05,112052.7,106.72,21
France,2017,Beverages,184.31,9215.6,7.09,26
France,2017,Cereals & Grains,2425.55,121277.75,127.66,19
France,2017,Meat & Poultry,4871.65,243582.65,143.28,34
France,2017,Bakery,3755.76,187788.05,125.19,30
France,2017,Oils & Fats,1471.54,73577.15,56.6,26
France,2017,Seafood,6297.65,314882.5,190.84,33
France,2017,Legumes,2226.4,111319.8,69.57,32
France,2018,Meat & Poultry,1478.49,73924.6,86.97,17
France,2018,Oils & Fats,1642.15,82107.45,68.42,24
France,2018,Cereals & Grains,1838.31,91915.3,87.54,21
France,2018,Seafood,1824.58,91229.1,114.04,16
France,2018,Bakery,3201.65,160082.55,177.87,18
France,2018,Legumes,984.17,49208.65,54.68,18
France,2018,Beverages,3984.44,199222.1,147.57,27
France,2018,Fruits & Vegetables,2784.24,139212.1,84.37,33
France,2018,Dairy,3424.54,171226.9,155.66,22
France,2018,Prepared Foods,1488.85,74442.35,67.67,22
France,2019,Legumes,2225.01,111250.25,65.44,34
France,2019,Prepared Foods,2990.24,149511.75,106.79,28
France,2019,Cereals & Grains,1293.64,64682.05,56.25,23
France,2019,Seafood,4161.34,208066.85,180.93,23
France,2019,Beverages,1043.1,52155.0,49.67,21
France,2019,Oils & Fats,816.95,40847.35,62.84,13
France,2019,Bakery,3157.31,157865.6,157.87,20
France,2019,Dairy,2917.11,145855.25,145.86,20
France,2019,Fruits & Vegetables,3866.97,193348.45,143.22,27
France,2019,Meat & Poultry,1488.39,74419.5,59.54,25
France,2020,Dairy,2257.21,112860.5,112.86,20
France,2020,Prepared Foods,3046.01,152300.5,98.26,31
France,2020,Cereals & Grains,5183.51,259175.5,152.46,34
France,2020,Bakery,2602.96,130147.8,108.46,24
France,2020,Beverages,1262.34,63117.15,54.88,23
France,2020,Seafood,3480.1,174005.15,193.34,18
France,2020,Legumes,3468.04,173401.95,133.39,26
France,2020,Fruits & Vegetables,2977.42,148871.1,110.27,27
France,2020,Oils & Fats,457.2,22859.9,18.29,25
France,2020,Meat & Poultry,1677.99,83899.45,59.93,28
